Geoid,Geographic Area Name,Total_Population_25_over_Bachelor's_degree_or_higher
19029190500,"Census Tract 1905, Cass County, Iowa",387
19031450100,"Census Tract 4501, Cedar County, Iowa",404
19031450200,"Census Tract 4502, Cedar County, Iowa",388
19031450300,"Census Tract 4503, Cedar County, Iowa",507
19031450400,"Census Tract 4504, Cedar County, Iowa",578
19031450500,"Census Tract 4505, Cedar County, Iowa",874
19033950102,"Census Tract 9501.02, Cerro Gordo County, Iowa",501
19033950201,"Census Tract 9502.01, Cerro Gordo County, Iowa",420
19033950202,"Census Tract 9502.02, Cerro Gordo County, Iowa",607
19033950300,"Census Tract 9503, Cerro Gordo County, Iowa",451
19033950402,"Census Tract 9504.02, Cerro Gordo County, Iowa",368
19033950600,"Census Tract 9506, Cerro Gordo County, Iowa",341
19033950700,"Census Tract 9507, Cerro Gordo County, Iowa",846
19033950800,"Census Tract 9508, Cerro Gordo County, Iowa",1166
19033950900,"Census Tract 9509, Cerro Gordo County, Iowa",447
19033951000,"Census Tract 9510, Cerro Gordo County, Iowa",326
19033951400,"Census Tract 9514, Cerro Gordo County, Iowa",983
19033951600,"Census Tract 9516, Cerro Gordo County, Iowa",628
19035080101,"Census Tract 801.01, Cherokee County, Iowa",293
19035080102,"Census Tract 801.02, Cherokee County, Iowa",547
19035080200,"Census Tract 802, Cherokee County, Iowa",445
19035080300,"Census Tract 803, Cherokee County, Iowa",205
19035080400,"Census Tract 804, Cherokee County, Iowa",370
19037070100,"Census Tract 701, Chickasaw County, Iowa",260
19037070200,"Census Tract 702, Chickasaw County, Iowa",316
19037070300,"Census Tract 703, Chickasaw County, Iowa",338
19037070400,"Census Tract 704, Chickasaw County, Iowa",548
19039960100,"Census Tract 9601, Clarke County, Iowa",525
19039960200,"Census Tract 9602, Clarke County, Iowa",282
19039960300,"Census Tract 9603, Clarke County, Iowa",212
19041080100,"Census Tract 801, Clay County, Iowa",317
19041080200,"Census Tract 802, Clay County, Iowa",774
19041080301,"Census Tract 803.01, Clay County, Iowa",824
19041080302,"Census Tract 803.02, Clay County, Iowa",382
19041080400,"Census Tract 804, Clay County, Iowa",385
19043070100,"Census Tract 701, Clayton County, Iowa",383
19043070200,"Census Tract 702, Clayton County, Iowa",472
19043070300,"Census Tract 703, Clayton County, Iowa",470
19043070400,"Census Tract 704, Clayton County, Iowa",285
19043070500,"Census Tract 705, Clayton County, Iowa",151
19043070600,"Census Tract 706, Clayton County, Iowa",402
19045000100,"Census Tract 1, Clinton County, Iowa",129
19045000200,"Census Tract 2, Clinton County, Iowa",48
19045000300,"Census Tract 3, Clinton County, Iowa",415
19045000400,"Census Tract 4, Clinton County, Iowa",843
19045000500,"Census Tract 5, Clinton County, Iowa",1175
19045000600,"Census Tract 6, Clinton County, Iowa",283
19045000700,"Census Tract 7, Clinton County, Iowa",554
19045000800,"Census Tract 8, Clinton County, Iowa",566
19045000900,"Census Tract 9, Clinton County, Iowa",1173
19045001000,"Census Tract 10, Clinton County, Iowa",469
19045001100,"Census Tract 11, Clinton County, Iowa",251
19045001200,"Census Tract 12, Clinton County, Iowa",403
19047070100,"Census Tract 701, Crawford County, Iowa",294
19047070200,"Census Tract 702, Crawford County, Iowa",261
19047070300,"Census Tract 703, Crawford County, Iowa",176
19047070401,"Census Tract 704.01, Crawford County, Iowa",501
19047070402,"Census Tract 704.02, Crawford County, Iowa",188
19047070500,"Census Tract 705, Crawford County, Iowa",238
19049050100,"Census Tract 501, Dallas County, Iowa",2009
19049050200,"Census Tract 502, Dallas County, Iowa",891
19049050300,"Census Tract 503, Dallas County, Iowa",276
19049050400,"Census Tract 504, Dallas County, Iowa",174
19049050500,"Census Tract 505, Dallas County, Iowa",343
19049050600,"Census Tract 506, Dallas County, Iowa",703
19049050700,"Census Tract 507, Dallas County, Iowa",1383
19049050803,"Census Tract 508.03, Dallas County, Iowa",4438
19049050805,"Census Tract 508.05, Dallas County, Iowa",2343
19049050807,"Census Tract 508.07, Dallas County, Iowa",2781
19049050812,"Census Tract 508.12, Dallas County, Iowa",1290
19049050813,"Census Tract 508.13, Dallas County, Iowa",840
19049050814,"Census Tract 508.14, Dallas County, Iowa",1852
19049050815,"Census Tract 508.15, Dallas County, Iowa",1825
19049050816,"Census Tract 508.16, Dallas County, Iowa",2264
19049050817,"Census Tract 508.17, Dallas County, Iowa",2948
19049050818,"Census Tract 508.18, Dallas County, Iowa",1334
19049050901,"Census Tract 509.01, Dallas County, Iowa",739
19049050902,"Census Tract 509.02, Dallas County, Iowa",1429
19051080100,"Census Tract 801, Davis County, Iowa",571
19051080200,"Census Tract 802, Davis County, Iowa",477
19053960100,"Census Tract 9601, Decatur County, Iowa",247
19053960200,"Census Tract 9602, Decatur County, Iowa",804
19053960300,"Census Tract 9603, Decatur County, Iowa",231
19055950100,"Census Tract 9501, Delaware County, Iowa",319
19055950200,"Census Tract 9502, Delaware County, Iowa",479
19055950300,"Census Tract 9503, Delaware County, Iowa",669
19055950400,"Census Tract 9504, Delaware County, Iowa",586
19057000200,"Census Tract 2, Des Moines County, Iowa",238
19057000300,"Census Tract 3, Des Moines County, Iowa",297
19057000400,"Census Tract 4, Des Moines County, Iowa",217
19057000500,"Census Tract 5, Des Moines County, Iowa",434
19057000600,"Census Tract 6, Des Moines County, Iowa",649
