Start Date,End Date,Location Name,Location Type,Location Extra,Disease Type,Reported Cases,Deaths,Longitude,Latitude,,,,,,,,
22.11.1893,,Alpak,Village,Nusaybin,Cattle Plague,,,41.2156940,37.0753330,,,,,,,,
22.11.1893,,Aznadu,Village,,Cattle Plague,,,,,,,,,,,,
20.06.1894,,Malatya,City,,Cholera,,,38.2897081,38.3457491,,,,,,,,
15.05.1894,,Akçadağ,Subdistrict,Malatya,Cholera,,,37.9711210,38.3447420,,,,,,,,
07.01.1895,,Eblu,Village,Diyarbakır,Cholera,,,40.2400000,37.9100000,,,,,,,,
10.01.1895,,Siverek,District,,Cholera,,,39.3166670,37.7500000,,,,,,,,
26.01.1895,,Van,City,,Cholera,,,43.3800000,38.4941670,,,,,,,,
13.10.1894,,Diyarbakır,Province,,Cholera,,,40.2400000,37.9100000,,,,,,,,
21.10.1894,,Muş,City,,Cholera,,,41.4911110,38.7333330,,,,,,,,
31.07.1894,,Egin (kemaliye),Subdistrict,,Cholera,,,38.4966670,39.2608330,,,,,,,,
18.09.1894,,Erzincan,District,,Cholera,,,39.4895599,39.7512233,,,,,,,,
06.10.1894,,Malatya,District,,Cholera,,,38.2897081,38.3457491,,,,,,,,
18.01.1895,,Malatya,District,,Cholera,,,38.2897081,38.3457491,,,,,,,,
18.01.1895,,Egin (kemaliye),Subdistrict,,Cholera,,,38.4966670,39.2608330,,,,,,,,
18.01.1895,,Arapgir,Subdistrict,,Cholera,,,38.4833330,39.0333330,,,,,,,,
27.01.1895,,Diyarbakır,Province,,Cholera,,,40.2400000,37.9100000,,,,,,,,
27.01.1895,,Bitlis,Province,,Cholera,,,42.1061620,38.4060750,,,,,,,,
10.07.1895,,Muş,District,,Cholera,,,41.4911110,38.7333330,,,,,,,,
01.09.1895,,Siverek,Subdistrict,,Cholera,,,39.3166670,37.7500000,,,,,,,,
04.05.1900,,Hacur (Hajjah),Tribe,,Plague,,,43.5975000,15.6950000,,,,,,,,
04.05.1900,,Caff,Tribe,,Plague,,,,,,,,,,,,
04.05.1900,,Maydesen,Tribe,,Plague,,,,,,,,,,,,
05.12.1903,,Bitlis,Province,,Cholera,,,42.1061620,38.4060750,,,,,,,,
05.12.1903,,Shirvan,Subdistrict,,Cholera,,,,,,,,,,,,
05.12.1903,,Garzan,Subdistrict,Siirt,Cholera,,,41.4911110,38.1944440,,,,,,,,
14.01.1903,,Siverek,District,,Cholera,,,39.3166670,37.7500000,,,,,,,,
14.01.1903,,Hosín,Town,,Cholera,,,14.4758330,49.0372220,,,,,,,,
14.01.1903,,Yerjan,Town,,Cholera,,,49.8497200,35.6636100,,,,,,,,
02.07.1902,,Mardin,District,,Cholera,,,40.7377780,37.3166670,,,,,,,,
25.11.1903,,Diyarbakır,Province,,Cholera,,,40.2400000,37.9100000,,,,,,,,
25.11.1903,,Ergani,District,,Cholera,,,39.7616670,38.2691670,,,,,,,,
02.05.1905,,Van,District,,Cholera,,,43.3964480,38.5034930,,,,,,,,
